,source,target,delta_time,line_name
11,pl. Strzegomski (Muzeum Współczesne),Młodych Techników,1.0,31
12,Młodych Techników,PL. JANA PAWŁA II,2.0,31
13,PL. JANA PAWŁA II,pl. Orląt Lwowskich,3.0,31
14,pl. Orląt Lwowskich,pl. Legionów,2.0,31
15,pl. Legionów,Arkady (Capitol),2.0,31
16,Arkady (Capitol),DWORZEC AUTOBUSOWY,4.0,31
17,DWORZEC AUTOBUSOWY,Joannitów,2.0,31
18,Joannitów,Gajowa,1.0,31
19,Gajowa,Prudnicka,2.0,31
20,Prudnicka,Kamienna,2.0,31
21,Kamienna,Bardzka,1.0,31
22,Bardzka,Krynicka,1.0,31
23,Krynicka,Morwowa,1.0,31
24,Morwowa,Świeradowska,1.0,31
25,Świeradowska,GAJ,2.0,31
1,KARŁOWICE,Trzebnicka,3.0,8
2,Trzebnicka,DWORZEC NADODRZE,2.0,8
3,DWORZEC NADODRZE,DWORZEC NADODRZE,1.0,8
4,DWORZEC NADODRZE,Słowiańska,2.0,8
5,Słowiańska,Nowowiejska,1.0,8
6,Nowowiejska,Jedności Narodowej,1.0,8
7,Jedności Narodowej,Na Szańcach,1.0,8
8,Na Szańcach,pl. Bema,2.0,8
9,pl. Bema,Hala Targowa,2.0,8
10,Hala Targowa,pl. Nowy Targ,1.0,8
11,pl. Nowy Targ,GALERIA DOMINIKAŃSKA,2.0,8
12,GALERIA DOMINIKAŃSKA,Wzgórze Partyzantów,2.0,8
13,Wzgórze Partyzantów,DWORZEC GŁÓWNY,2.0,8
14,DWORZEC GŁÓWNY,DWORZEC GŁÓWNY,2.0,8
15,DWORZEC GŁÓWNY,DWORZEC AUTOBUSOWY,3.0,8
16,DWORZEC AUTOBUSOWY,Joannitów,2.0,8
17,Joannitów,Gajowa,1.0,8
18,Gajowa,Prudnicka,2.0,8
19,Prudnicka,Kamienna,2.0,8
20,Kamienna,Bardzka,1.0,8
21,Bardzka,Nyska,1.0,8
22,Nyska,Tarnogajska,1.0,8
23,Tarnogajska,Klimasa,2.0,8
24,Klimasa,TARNOGAJ,1.0,8
1,POŚWIĘTNE,Wołowska,1.0,1
2,Wołowska,Kępińska,1.0,1
3,Kępińska,Kamieńskiego,2.0,1
4,Kamieńskiego,Broniewskiego,2.0,1
5,Broniewskiego,Trzebnicka,3.0,1
6,Trzebnicka,DWORZEC NADODRZE,2.0,1
7,DWORZEC NADODRZE,DWORZEC NADODRZE,1.0,1
8,DWORZEC NADODRZE,Słowiańska,2.0,1
9,Słowiańska,Nowowiejska,2.0,1
10,Nowowiejska,Wyszyńskiego,2.0,1
11,Wyszyńskiego,Prusa,1.0,1
12,Prusa,Piastowska,2.0,1
13,Piastowska,PL. GRUNWALDZKI,3.0,1
14,PL. GRUNWALDZKI,Kliniki - Politechnika Wrocławska,2.0,1
15,Kliniki - Politechnika Wrocławska,Hala Stulecia,2.0,1
16,Hala Stulecia,ZOO,1.0,1
17,ZOO,Tramwajowa,2.0,1
18,Tramwajowa,Chełmońskiego,1.0,1
19,Chełmońskiego,Piramowicza,1.0,1
20,Piramowicza,Spółdzielcza,1.0,1
21,Spółdzielcza,BISKUPIN,2.0,1
1,KSIĘŻE MAŁE,Głubczycka,1.0,3
2,Głubczycka,Karwińska,2.0,3
3,Karwińska,Park Wschodni,1.0,3
4,Park Wschodni,Armii Krajowej,1.0,3
5,Armii Krajowej,KRAKOWSKA (Centrum handlowe),1.0,3
6,KRAKOWSKA (Centrum handlowe),Krakowska,1.0,3
7,Krakowska,Na Niskich Łąkach,2.0,3
8,Na Niskich Łąkach,pl. Zgody (Muzeum Etnograficzne),1.0,3
9,pl. Zgody (Muzeum Etnograficzne),pl. Wróblewskiego,3.0,3
10,pl. Wróblewskiego,GALERIA DOMINIKAŃSKA,4.0,3
11,GALERIA DOMINIKAŃSKA,Świdnicka,2.0,3
12,Świdnicka,Zamkowa,1.0,3
13,Zamkowa,Rynek,2.0,3
14,Rynek,PL. JANA PAWŁA II,3.0,3
15,PL. JANA PAWŁA II,Młodych Techników,2.0,3
16,Młodych Techników,pl. Strzegomski (Muzeum Współczesne),1.0,3
17,pl. Strzegomski (Muzeum Współczesne),ZACHODNIA (Stacja kolejowa),2.0,3
18,ZACHODNIA (Stacja kolejowa),Niedźwiedzia,2.0,3
19,Niedźwiedzia,Małopanewska,1.0,3
20,Małopanewska,Kwiska,2.0,3
21,Kwiska,DH Astra,2.0,3
22,DH Astra,Park Zachodni,1.0,3
23,Park Zachodni,Bajana,1.0,3
24,Bajana,Metalowców,2.0,3
25,Metalowców,PILCZYCE,1.0,3
26,PILCZYCE,Tarczyński Arena (Lotnicza),2.0,3
27,Tarczyński Arena (Lotnicza),Glinianki,1.0,3
28,Glinianki,Aleja Architektów,1.0,3
29,Aleja Architektów,Grabowa,1.0,3
30,Grabowa,Kosmonautów (Szpital),2.0,3
31,Kosmonautów (Szpital),Kamiennogórska (Ośrodek dla niewidomych),1.0,3
32,Kamiennogórska (Ośrodek dla niewidomych),Złotnicka,2.0,3
33,Złotnicka,Wschowska,1.0,3
34,Wschowska,Jeleniogórska,1.0,3
35,Jeleniogórska,LEŚNICA,1.0,3
1,OPORÓW,GRABISZYŃSKA (Cmentarz II),1.0,4
2,GRABISZYŃSKA (Cmentarz II),GRABISZYŃSKA (Cmentarz),1.0,4
3,GRABISZYŃSKA (Cmentarz),Fiołkowa,1.0,4
4,Fiołkowa,FAT,2.0,4
5,FAT,Hutmen,1.0,4
6,Hutmen,Bzowa (Centrum Zajezdnia),1.0,4
7,Bzowa (Centrum Zajezdnia),pl. Srebrny,1.0,4
8,pl. Srebrny,Stalowa,1.0,4
9,Stalowa,Pereca,2.0,4
10,Pereca,Grabiszyńska,1.0,4
11,Grabiszyńska,Kolejowa,1.0,4
12,Kolejowa,pl. Legionów,2.0,4
13,pl. Legionów,Narodowe Forum Muzyki,2.0,4
14,Narodowe Forum Muzyki,Zamkowa,1.0,4
15,Zamkowa,Świdnicka,2.0,4
